0 6
Day APCP TMP SPFH UGRD DSWRF
716.958333333333 0 7.51000000000005 0.798498289592918 186624 32211302.4
717 0 7.36000000000001 0.806864198603432 184896 22954060.8
717.041666666667 0 7.20000000000005 0.815837179876062 184032 6379084.8
717.083333333333 0 5.73000000000002 0.844781067872969 172800 0
717.125 0 4.25 0.872441993891964 161568 0
717.166666666667 0.0022992 2.78000000000003 0.896733899277039 151200 0
717.208333333333 0 2.57000000000005 0.88580568491214 126144 0
717.25 0 2.37 0.873795812144771 100224 0
717.291666666667 0 2.16000000000003 0.861806451804124 75168 0
717.333333333333 0 2.16000000000003 0.838357830839248 98496 0
717.375 0 2.15000000000003 0.81545073295155 121824 0
717.416666666667 0 2.15000000000003 0.791939248945359 145152 0
717.458333333333 0 1.95000000000005 0.786432443832791 71712 0
717.5 0 1.75 0.78069422700881 864 0
717.541666666667 0 1.55000000000001 0.774619994339706 74304 0
717.583333333333 0.0001008 1.17000000000002 0.792146146852262 44928 0
717.625 0.0001008 0.800000000000011 0.809574707254789 15552 0
717.666666666667 0.0001008 0.420000000000016 0.828014995232509 12960 0
717.708333333333 0.0014232 1.85000000000002 0.812437182724786 18144 4897843.2
717.75 0.0014232 3.27000000000004 0.793717809456568 50112 13659062.4
717.791666666667 0.0014232 4.69 0.772193390150119 81216 12968467.2
717.833333333333 0.008496 4.89000000000004 0.79413361265506 27648 16030569.6
717.875 0.008496 5.08000000000004 0.815884863076656 25056 16919971.2
717.916666666667 0.008496 5.28000000000003 0.836377558430253 78624 16789248
717.958333333333 0.005832 5.28000000000003 0.861816471218171 67392 13916620.8
718 0.005832 5.29000000000002 0.886543479523108 56160 9930470.4
718.041666666667 0.005832 5.29000000000002 0.911862479905958 44928 5629478.4
718.083333333333 0.003408 4.90000000000003 0.927372153398616 46656 0
718.125 0.003408 4.5 0.943798803348496 47520 0
718.166666666667 0.003408 4.10000000000002 0.960468976549541 48384 0
718.208333333333 0.0039192 4.19 0.962378604873569 19872 0
718.25 0.0039192 4.28000000000003 0.964140670952457 8640 0
718.291666666667 0.0039192 4.37 0.965926147232114 38016 0
718.333333333333 0.006924 4.47000000000003 0.968855779889376 9504 0
718.375 0.006924 4.58000000000004 0.970996800493707 19008 0
718.416666666667 0.006924 4.68000000000001 0.9737494373075 47520 0
718.458333333333 0.0090528 4.70000000000005 0.97294568986722 35424 0
718.5 0.0090528 4.72000000000003 0.972192391794802 22464 0
718.541666666667 0.0090528 4.74000000000001 0.971369506520519 10368 0
718.583333333333 0.0077712 4.49000000000001 0.977074164957719 10368 0
718.625 0.0058224 4.25 0.982026238247365 11232 0
718.666666666667 0.0067536 4.01000000000005 0.986850651049776 11232 0
718.708333333333 0.0004944 4.59000000000003 0.96475715153918 66528 2527027.2
718.75 0 5.18000000000001 0.942316191291734 145152 7141737.6
718.791666666667 0.0378 5.76000000000005 0.920979337180715 222912 11078899.2
718.833333333333 0 5.95000000000005 0.919814145720455 237600 13713840
718.875 0 6.13 0.919175048844738 252288 14488502.4
718.916666666667 0 6.32000000000005 0.917748252996132 266976 15076454.4
718.958333333333 0 6.11000000000001 0.922284198402509 260928 12506572.8
719 0 5.89000000000004 0.927489587526446 254016 8937907.2
719.041666666667 0 5.68000000000001 0.932062063462798 247104 3358886.4
719.083333333333 0 5.37 0.934241923693986 245376 0
719.125 0.0128448 5.06 0.936144334216985 243648 0
719.166666666667 0.0456144 4.74000000000001 0.938403571544657 241920 0
719.208333333333 0.0249648 4.12 0.942881193129551 222912 0
719.25 0.0319488 3.5 0.946158663998944 203904 0
719.291666666667 0.0215664 2.87 0.948732176955707 184896 0
719.333333333333 0.012768 2.64000000000004 0.944904055595473 161568 0
719.375 0.0074976 2.41000000000003 0.940800753634511 137376 0
719.416666666667 0.009636 2.18000000000001 0.936353338904909 114048 0
719.458333333333 0.013632 2.25 0.929360890976545 164160 0
719.5 0.0132912 2.31 0.923124382385899 214272 0
719.541666666667 0.0093936 2.38 0.916270064725636 265248 0
719.583333333333 0.0044208 2.21000000000004 0.910100669258459 235008 0
719.625 0.026544 2.05000000000001 0.902951360028432 204768 0
719.666666666667 0.0326736 1.88 0.896250357393763 174528 0
719.708333333333 0.0469248 2.47000000000003 0.892428564465473 205632 3324672
719.75 0.0365568 3.06 0.887584408431178 235872 9523785.6
719.791666666667 0.054096 3.65000000000003 0.881900940480821 266976 16992806.4
719.833333333333 0.0890448 3.70000000000005 0.864882284413417 304128 21060691.2
719.875 0.0654288 3.76000000000005 0.847391849051608 341280 22269772.8
719.916666666667 0.023232 3.82000000000005 0.830074730767389 378432 23651481.6
719.958333333333 0.0893472 3.80000000000001 0.821682368410967 355104 19639756.8
720 0.0620064 3.79000000000002 0.812650693774431 331776 14056934.4
720.041666666667 0.0514032 3.77000000000004 0.804173652466611 308448 5516467.2
720.083333333333 0.0256896 3.31 0.848681927061928 266112 0
720.125 0.021 2.85000000000002 0.895352201177639 223776 0
720.166666666667 0.0131616 2.39000000000004 0.944217556409363 182304 0
720.208333333333 0.0107808 2.46000000000004 0.948953072716623 106272 0
720.25 0.013032 2.53000000000003 0.953597287622575 31104 0
720.291666666667 0.0033216 2.60000000000002 0.958248632627998 44064 0
720.333333333333 0.0022416 2.63 0.957022103792675 31104 0
720.375 0.005544 2.67000000000002 0.955058534203326 19008 0
720.416666666667 0.0022416 2.71000000000004 0.953149711037623 6048 0
720.458333333333 0.0035928 2.77000000000004 0.934904812926388 8640 0
720.5 0.001704 2.83000000000004 0.916708438398859 10368 0
720.541666666667 0 2.89000000000004 0.898634446006954 12960 0
720.583333333333 0 2.37 0.875741489775366 5184 0
720.625 0 1.84000000000003 0.850538209630459 23328 0
720.666666666667 0 1.31 0.822200336166899 40608 0
720.708333333333 0 2.49000000000001 0.815255649507887 3456 6108825.6
720.75 0 3.66000000000003 0.805343311860738 32832 17717011.2
720.791666666667 0 4.84000000000003 0.792047420595184 69984 28701129.6
720.833333333333 0 5.52000000000004 0.767098646416131 50112 35617276.8
720.875 0 6.19 0.743503100963907 30240 37698307.2
720.916666666667 0 6.87 0.720222576499012 9504 29711923.2
720.958333333333 0 6.54000000000002 0.75352808606598 53568 24697958.4
721 0 6.21000000000004 0.7880871847473 98496 17706470.4
721.041666666667 0.0009384 5.88 0.823825252012343 142560 6549811.2
721.083333333333 0.0191424 5.09000000000003 0.861616596794173 82944 0
721.125 0.0098208 4.30000000000001 0.901367025422112 23328 0
721.166666666667 0 3.51000000000005 0.943151201093565 35424 0
721.208333333333 0 3.52000000000004 0.936847173828546 88992 0
721.25 0.0044904 3.52000000000004 0.931123223251394 141696 0
721.291666666667 0.0011088 3.53000000000003 0.924762024381387 194400 0
721.333333333333 0.0004776 3.54000000000002 0.930071010544703 201312 0
721.375 0 3.55000000000001 0.935363538576452 208224 0
721.416666666667 0.0200136 3.56 0.940678723151742 215136 0
721.458333333333 0.025932 3.56 0.94083142220168 222912 0
721.5 0.0201408 3.56 0.940963752551582 229824 0
721.541666666667 0.0101184 3.55000000000001 0.941868759136401 237600 0
721.583333333333 0.019152 3.60000000000002 0.947734881164903 128736 0
721.625 0.0466848 3.64000000000004 0.954252823657766 19872 0
721.666666666667 0.081936 3.68000000000001 0.960654090547406 88128 0
