87667	6	20000101	20100101
Time_Day	APCP	TMP	SPFH	UGRD	DSWRF
685.875	0.48	10.64	0.8227	0.29	164.512
685.916666666667	2.1312	10.55	0.8232	0.19	133.808
685.958333333333	2.3904	10.47	0.823	0.08	96.024
686	5.6928	10.38	0.8235	0.03	49.072
686.041666666667	1.0368	9.67	0.8658	0.43	0
686.083333333333	0.9408	8.96	0.9105	0.82	0
686.125	0	8.26	0.9572	1.22	0
686.166666666667	0	8.19	0.9488	1.16	0
686.208333333333	0	8.13	0.9396	1.11	0
686.25	0	8.07	0.9304	1.06	0
686.291666666667	0	7.43	0.9303	0.81	0
686.333333333333	0	6.79	0.9285	0.56	0
686.375	0	6.15	0.9249	0.31	0
686.416666666667	0	5.84	0.9128	0.5	0
686.458333333333	0	5.54	0.8992	0.69	0
686.5	0	5.23	0.8852	0.89	0
686.541666666667	0	4.73	0.8684	0.55	0
686.583333333333	0	4.24	0.8487	0.21	0
686.625	0	3.74	0.8273	0.13	0
686.666666666667	0	5.84	0.7749	0.05	159.883
686.708333333333	0	7.93	0.7238	0.04	297.473
686.75	0	10.03	0.6738	0.13	425.876
686.791666666667	0	10.78	0.6164	0.3	504.315
686.833333333333	0	11.52	0.5635	0.46	514.142
686.875	0	12.26	0.5144	0.62	496.448
686.916666666667	0	12.06	0.5309	0.55	403.536
686.958333333333	0	11.85	0.5482	0.48	289.024
687	0	11.64	0.5659	0.41	87.996
687.041666666667	0	10.11	0.5999	0.3	0
687.083333333333	0	8.58	0.6355	0.19	0
687.125	0	7.04	0.6732	0.07	0
687.166666666667	0	6.87	0.674	0.05	0
687.208333333333	0	6.7	0.6747	0.18	0
687.25	0	6.53	0.6754	0.3	0
687.291666666667	0	5.86	0.6999	1.31	0
687.333333333333	0	5.2	0.7249	2.32	0
687.375	0	4.53	0.7515	3.32	0
687.416666666667	0	4.55	0.7413	2.53	0
687.458333333333	0	4.58	0.7307	1.74	0
687.5	0	4.61	0.7202	0.95	0
687.541666666667	0	4.72	0.7124	1.17	0
687.583333333333	0	4.83	0.7046	1.39	0
687.625	0	4.95	0.6965	1.62	0
687.666666666667	0	6.53	0.6576	1.75	69.347
687.708333333333	0	8.11	0.6202	1.89	130.265
687.75	0	9.69	0.5845	2.03	183.101
687.791666666667	0.3072	10.67	0.5618	1.79	217.122
687.833333333333	0	11.66	0.5396	1.55	221.482
687.875	0	12.64	0.5186	1.31	352.336
687.916666666667	0	12.89	0.5197	1.77	286.224
687.958333333333	0	13.13	0.5209	2.24	204.624
688	0	13.37	0.522	2.71	87.92
688.041666666667	0.3072	12.01	0.5684	2.73	0
688.083333333333	0	10.65	0.6195	2.75	0
688.125	0	9.29	0.6758	2.77	0
688.166666666667	0	9.28	0.6962	2.63	0
688.208333333333	0	9.26	0.7172	2.48	0
688.25	0	9.24	0.7381	2.34	0
688.291666666667	0	9.4	0.7557	2.88	0
688.333333333333	0	9.56	0.7729	3.42	0
688.375	0	9.71	0.7901	3.96	0
688.416666666667	0	9.8	0.8017	4.13	0
688.458333333333	0	9.89	0.8131	4.31	0
688.5	0	9.97	0.825	4.49	0
688.541666666667	0	9.94	0.7948	4.26	0
688.583333333333	0	9.9	0.7651	4.02	0
688.625	0	9.87	0.7347	3.79	0
688.666666666667	0	10.47	0.7309	3.64	57.404
688.708333333333	0	11.08	0.7259	3.49	108.907
688.75	9.2352	11.69	0.7204	3.34	111.408
688.791666666667	0	11.66	0.7611	2.45	132.278
688.833333333333	0	11.63	0.8019	1.56	135.013
688.875	0	11.59	0.8434	0.67	141.2
688.916666666667	0	11.44	0.8591	0.06	114.656
688.958333333333	1.3632	11.28	0.8756	0.79	81.816
689	6.8832	11.12	0.8925	1.52	52.828
689.041666666667	7.872	10.35	0.9039	0.68	0
689.083333333333	5.6352	9.59	0.9138	0.16	0
689.125	3.0384	8.82	0.9231	1	0
689.166666666667	3.9168	8.24	0.9391	0.93	0
689.208333333333	9.2112	7.66	0.9552	0.85	0
689.25	0	7.08	0.9713	0.78	0
689.291666666667	0	7.09	0.9459	1.36	0
689.333333333333	0	7.1	0.9205	1.94	0
689.375	0	7.11	0.8952	2.52	0
689.416666666667	0	6.73	0.9032	2.54	0
689.458333333333	0	6.35	0.9111	2.57	0
689.5	0	5.97	0.9189	2.59	0
689.541666666667	0	5.93	0.9216	2.49	0
689.583333333333	0	5.89	0.9244	2.38	0
689.625	0.0024	5.85	0.9272	2.27	0
689.666666666667	0	7.62	0.8517	1.79	118.503
689.708333333333	2.52	9.4	0.7824	1.3	227.152
689.75	6.5376	11.18	0.7191	0.82	168.755
689.791666666667	0	11.24	0.7086	1.41	200.654
689.833333333333	0	11.3	0.6983	2	204.936
689.875	0	11.36	0.688	2.59	214.08
689.916666666667	0	11.09	0.7116	2.14	173.728
689.958333333333	6.888	10.83	0.7353	1.7	123.768
690	1.4832	10.57	0.7597	1.26	68.604
690.041666666667	0	10.38	0.8015	0.63	0
690.083333333333	0	10.19	0.8443	0.01	0
690.125	0	10	0.8879	0.62	0
690.166666666667	0.0096	9.8	0.8867	1.21	0
690.208333333333	1.8816	9.6	0.8853	1.81	0
690.25	12.3648	9.39	0.8843	2.41	0
690.291666666667	5.2464	9.08	0.8945	1.71	0
690.333333333333	4.9536	8.77	0.9048	1.02	0
690.375	0	8.45	0.9158	0.32	0
690.416666666667	2.6448	8.26	0.9286	0.15	0
690.458333333333	1.9872	8.06	0.9422	0.62	0
690.5	0.8688	7.86	0.9561	1.08	0
690.541666666667	7.008	8.08	0.9579	0.1	0
690.583333333333	26.2896	8.29	0.9602	0.89	0
690.625	10.8096	8.51	0.9615	1.88	0
690.666666666667	4.704	8.72	0.9455	1.02	49.857
690.708333333333	5.2992	8.93	0.9299	0.17	96.583
690.75	12.9456	9.14	0.9145	0.69	110.567
690.791666666667	29.5872	9.15	0.9187	0.63	131.668
690.833333333333	56.52	9.15	0.9235	0.58	134.562
690.875	50.136	9.15	0.9284	0.53	126.672
690.916666666667	47.448	9.63	0.9393	0.46	102.752
690.958333333333	56.9856	10.12	0.948	1.44	73.088
691	56.7408	10.6	0.9559	2.42	21.276
691.041666666667	58.1184	10.75	0.9632	3	0
691.083333333333	25.392	10.9	0.9704	3.57	0
691.125	70.6464	11.05	0.9773	4.15	0
691.166666666667	78.1728	10.9	0.9655	4.79	0
691.208333333333	37.584	10.76	0.9528	5.42	0
691.25	15.8112	10.61	0.9404	6.05	0
691.291666666667	0.5856	10.31	0.9381	6.03	0
691.333333333333	0	10.02	0.9347	6.01	0
691.375	7.5168	9.72	0.9315	5.99	0
691.416666666667	9.2256	9.08	0.916	5.97	0
691.458333333333	11.9808	8.43	0.8984	5.95	0
691.5	3.0192	7.79	0.8772	5.93	0
691.541666666667	0	7.45	0.8725	5.67	0
691.583333333333	3.2352	7.1	0.8678	5.4	0
691.625	11.472	6.76	0.8617	5.14	0
691.666666666667	0	7.31	0.8053	5.51	108.8
691.708333333333	0	7.87	0.7514	5.89	213.001
691.75	0	8.42	0.701	6.26	372.655
691.791666666667	0.0384	8.95	0.6645	6.1	444.356
691.833333333333	0.4704	9.47	0.6302	5.93	454.44
691.875	0.4656	10	0.5971	5.76	365.136
691.916666666667	3.072	9.5	0.6013	5.57	296.072
691.958333333333	2.64	8.99	0.6056	5.38	210.256
692	1.9296	8.49	0.6091	5.19	59.212
692.041666666667	0	7.4	0.6676	4.72	0
692.083333333333	0	6.31	0.7319	4.24	0
692.125	0	5.23	0.8021	3.77	0
692.166666666667	0	4.66	0.8045	3.08	0
692.208333333333	0	4.09	0.8059	2.38	0
692.25	0	3.52	0.8063	1.69	0
692.291666666667	0	3.23	0.8041	1.2	0
692.333333333333	0	2.94	0.8014	0.71	0
692.375	0	2.65	0.7983	0.22	0
692.416666666667	0	2.54	0.7919	0.44	0
692.458333333333	0	2.43	0.7853	0.66	0
692.5	0	2.31	0.7793	0.88	0
692.541666666667	0	2.17	0.7744	0.46	0
692.583333333333	0	2.03	0.7695	0.05	0
